id;nombre;primer_apellido;segundo_apellido;sexo;fecha_nacimiento;fecha_ingreso;salario;puesto;estado
1;overriding multi-byte USB;withdrawal Ergonomic;Concrete overriding;Femenino;2020-12-07T14:52:22;2020-12-07T15:53:26;70654;Programador;Activo
2;Profit-focused Palladium;bleeding-edge;Planner;Femenino;2020-12-07T08:12:57;2020-12-07T20:27:44;85068;Contador;Activo
3;COM Ghana XSS;Rubber hacking SSL;empowering;Femenino;2020-12-08T04:13:13;2020-12-08T02:42:05;93195;Programador;Activo
4;synergistic Guinea-Bissau Functionality;De-engineered Digitized;partnerships;Masculino;2020-12-07T10:01:44;2020-12-07T09:15:47;14907;Gerente;Activo
5;Salad Coordinator National;copying;Naira;Femenino;2020-12-07T16:49:06;2020-12-07T22:38:10;44650;Programador;Activo
6;platforms end-to-end;Incredible Wooden Gloves 24/7;wireless;Masculino;2020-12-07T11:00:51;2020-12-07T15:59:57;8823;Gerente;Inactivo
7;Station Sleek;Unions;Multi-tiered Division;Femenino;2020-12-07T08:26:00;2020-12-07T12:10:37;65486;Programador;Activo
8;Granite encompassing Home Loan Account;Product Home payment;Holy See (Vatican City State) eyeballs;Femenino;2020-12-07T05:37:46;2020-12-07T19:11:43;20493;Contador;Inactivo
9;Mountains Sierra Leone;Optimized;array Tasty Granite Table Marketing;Masculino;2020-12-07T23:22:29;2020-12-07T22:17:16;50438;Contador;Inactivo
10;Rubber Fish Rubber;Soap copying Gorgeous;Operations Licensed Dynamic;Femenino;2020-12-07T11:41:40;2020-12-07T14:24:49;32505;Programador;Inactivo
